ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,REEF_SYSTEM,REEF_TYPE,REEF_NAME,WATER_DEPTH,ISLAND_NAME,PROTECTED,TOURISM,COUNTRY_CODE
33,,,,,0.21667,-176.48333,Baker Island,Fringing,Baker Island,,,1,0,
7976,,,,,0.03333,6.66667,Spo TomT and Prfncipe,Non-reef coral community,Spo TomT and Prfncipe,,,0,0,
3575,,,,,27.95,-82.95,Clearwater,,Clearwater,,,0,1,
10302,,,,,28.88333,34.73333,Gulf of Aqaba,,Gulf of Aqaba,,,0,0,
3948,,,,,26.88333,-82.56667,Crystal River,,Crystal River,,,0,1,
1352,,,,,26.06667,-80.06667,John U. Lloyd,,John U. Lloyd,,,1,0,
10670,,,,,26.70033,-80.01667,,,Breakers Reef,,,0,0,
9101,,,,,24.85,-80.56667,Florida Reef Tract,Patch Reef,Hens and Chickens,,,0,0,
10653,,,,,24.83367,-80.61667,,,Alligator Spa,,,0,0,
10654,,,,,24.9,-80.60033,,,Cheeca Rocks,,,0,0,
10655,,,,,24.68333,-80.95033,,,Coffins Patch,,,0,0,
10656,,,,,24.95,-80.45,,,Conch Reef,,,0,0,
10657,,,,,24.90033,-80.51667,,,Crocker Control,,,0,0,
10658,,,,,24.91667,-80.5,Florida Reef Tract,Platform,Davis Reef,,,0,0,
10659,,,,,24.98333,-80.40033,,,Pickles Reef,,,0,0,
10660,,,,,24.73367,-80.767,,,Tennessee Reef,,,0,0,
10593,,,,,24.5,-81.05,Florida Reef Tract,,Florida Keys,,,0,0,
10661,,,,,24.45033,-81.83367,Florida Reef Tract,,Eastern Dry Rocks,,,0,0,
10662,,,,,24.48367,-81.65033,Florida Reef Tract,,Eastern Sambos,,,0,0,
10663,,,,,24.60033,-81.38367,Florida Reef Tract,,Newfound Harbor,,,0,0,
10664,,,,,24.45,-81.85,Florida Reef Tract,,Rock Key,,,0,0,
10665,,,,,24.45,-81.867,Florida Reef Tract,,Sand Key,,,0,0,
10666,,,,,24.617,-81.10033,Florida Reef Tract,,Sombrero Reef ( Sombrero Key ),,,0,0,
10667,,,,,24.55,-81.667,Florida Reef Tract,,Western Sambos,,,0,0,
10668,,,,,25.117,-80.28367,Florida Reef Tract,,Dry Rocks,,,0,0,
7946,,,,,7,150,Carolines,All structures present,Micronesia,,Caroline Islands,0,1,
236,,,,,8.76667,150.03333,Namotiuto,Atoll,Namotiuto,,Westerns,0,0,
777,,,,,9.51667,138.11667,Yap,Fringing,Pelak,,Caroline Islands,0,0,
766,,,,,-13.78333,-172.16667,Western Samoa Reefs,Barrier/Fringing,Western Samoa,,Samoa Islands,0,0,
8296,,,,,-13.65,-172.43333,Savai'i,Fringing,Savai'i,,,0,0,
8297,,,,,-13.81667,-172.16667,Apolima,,Apolima,,,0,0,
8822,,,,,-13.5,-172.83333,Savai'i,,Cape Puava,,Savai'i,0,0,
3571,,,,,17.9,-62.85,French Antilles,Patch Reef,St. Barthelemy,,,0,1,
11480,,,,,17.88633,-62.80467,,Fringing,Anse Grande Saline,,,0,0,
11479,,,,,17.90217,-62.85967,,Fringing,Gros Islets,,,0,0,
10624,,,,,18.46667,-64.51667,Great Camanoe Island,,Diamond Reef,,,0,0,
10625,,,,,18.33333,-64.61667,,,Pelican Island,,,0,0,
10623,,,,,18.48333,-64.45,Great Dog Island,,Coral Gardens,,,0,0,
4179,,,,,19.55,113.05,South China Sea,Bank,Saint Esprit Shoal,,,0,0,
4180,,,,,19.2,-113.86667,Saint Esprit Shoal,Bank,Helen Shoal,,,0,0,
8738,,,,Aleipata,-14.01667,-171.43333,Upolu,Fringing,Namu'a Island,,,0,0,
